index,text
469,Had an awful issue with my insurance company not paying for a procedure.  Michele Pickett at Oregon Clinic was an awesome patient advocate and would not give up until the matter was resolved.  She ultimately was successful in getting my insurance company to pay the bill.  I will always use Oregon Clinic for this reason.  And the medical staff is awesome.
470,"I have never posted anything bad about a company. Ever....But I have to say My husband who has Crohns is at his wits end and so am I.  You make an appointment. You see the Doctor. He prescribes medicine to you that you absolutely need as the symptoms are so bad you can't stand yourself. After even asking the nurse 2 times are you going to call in the medicine....Yes we were told 2 times.  Today is a week after the appointment and there still is no prescription called in.  We have called and left numerous messages and keep checking in with our pharmacy with still nothing.  Who does this.  My husband is sick.....Does anyone care. Obviously these guys don't have it together and don't care.  If you can find somewhere else to go besides the location in Town Lake Woodstock I would advise you to do so.  These are suppose to be specialists.  I get more from my family doctor, at least he takes the time to speak to me. Be Aware."
471,"******BEWARE******
Do not use these people at all cost.

They are very unprofessional, demanding $800 up front from a customer less than 24 hours for a procedure that has been scheduled for weeks.

SHAME on you all for being LAZY and not working with my insurance company which pays 80% to you all but in return you demand 100% of the entire bill when the procedure has not even started.....YOUR ALL CROOKS.

I will post your names and all other demands.

I will ask my Dr. To find someone else and schedule me out further to avoid doing business with you crooks.

Claudia needs to be terminated from the position in which she currently holds and this business need to change the way they do business because the people are not going to put up with this nonsense."
472,"After 1st visit, I had to go elsewhere in the same week. Scheduled an appt to get teeth cleaned and they decided to take an entire hour to X-ray on a machine manufactured in 1988 and write up a bill for a 2nd visit for $212 just to clean my teeth - no cavities reported! I took my business elsewhere and got new X-rays (D.A.D. Could not send my X-rays, only a lousy screenshot) and cleaning done with my insurance covering 100%. This place will push products even after you've stated you're not interested. It's a waste of time and I have a sore in my mouth from the lady that crammed the X-ray tool into my mouth and took additional X-rays of the same spot because she ""couldn't get a good picture"". They're greedy and negligent. If you don't mind the drive for a fantastic dentist, check out Dr. Kimmerling in Marietta, GA!"
473,"If I could give them no stars I would. I have never received such bad care anywhere. I went for an ultrasound where they found extensive blood clots in my leg. The radiologist informed me that I needed a procedure to break up the clots and that would be performed that afternoon. He said they were going to admit me right then and he would see me in a few hours. The radiology tech wheeled me down to the registration desk and didn't leave the front desk worker any instructions. Since she didn't know what was happening she wheeled me down to the ER, even after I told her the radiologist told me I would not be admitted through the ER. After sitting in a bed in the hallway in the ER they moved me to a holding wing. At this point I still hadn't seen a doctor to tell me what was happening. We kept asking when my procedure was going to take place and no one could even tell me anything about that or my diagnosis. After 8 hours in the ER they finally found me a bed. When they got me up to my room my nurse still didn't know anything about the procedure or anything about my care. I was told in the ER that I wasn't allowed to eat or drink anything after midnight but I was given water and snacks overnight with medicine as the nurse stated there were no orders in my chart otherwise. At 7:00am a lab tech came in to take 12 viles of blood, only when i questioned her what they were for did the doctor come in and say that I was heading down for y procedure. At this point we still had no idea what the procedure entailed. She then stated that the reason that I didn't have the procedure yesterday was because the radiology tech misplaced me. After having the three hour procedure they wheeled me back to my room where they then informed me that because my insurance was not covered by the hospital that they would have to transfer me to Seton. This was at 1:00 as I was still coming out of sedation. After speaking with many hospital representatives they told me that I was going to be transferred between 5-7 that night. They were just waiting to speak to a doctor at seton to brief them about my condition. When my nurse came in a few minutes later and I asked him a few questions regarding my transfer and he became very angry and annoyed that I was having him repeat what they hospital representative just said except he didn't even allow me to ask my questions so he wouldn't know that.  So then we waited and waited and waited for my transport.  At 11:00 the transport finally arrived. Let me remind you that I was told I would be transported between 5 and 7. Well the ambulance driver said they weren't even called until 9:00 and had to come from Bastrop. What part about transporting a patient at 11:00  after they had a three hour procedure is in the best interest of the patient? Then apparently the nurse Marco who I had made mad earlier decided he wasn't going to fill out the proper paperwork which delayed us another hour. When I finally got to Seton the doctor told me that she had been waiting for me since 5. 

We then sent a letter to them telling them our displeasure with the care I received, I received a letter from Bonnie Melde that stated they were going to conduct interviews with all the parties, but she failed to even call the patient How can you get the real story without even talking to the patient who lived through it. After finally placing two calls to her office she finally called me back and argued with me through the whole conversation. She is in no place to tell me what kind of care I received because she wasn't there. The whole letter was complete lies and she didn't even care to hear it. The letter stated they were giving me a  25% off of my bill out of courtesy. She said she didn't even have to do that. 

So in conclusion DO NOT got to St Davids and if you do and receive bad care don't expect them to listen or to care."
474,"Echoing what others have said in their reviews. I had a mixed feeling choosing dr. Lori as my primary physician reading the negative reviews in Yelp, but I gave it a try anyway. After my second visit, I realized what others said are pretty accurate. Dr. Lori was attentive but somehow I felt rushed so I didn't get to ask all questions I have. Front desk was very friendly but filling the paperwork was tedious. A lot of repetitive questions and I see why a lot of people say the process is inefficient. What threw me off, really, was the assitant. Yes I am talking about the one who wears layers of fake eyelashes. She was very rude! I had additional questions for dr. Lori but she looked annoyed ""I have another patient coming so you have to be out now"" When I insisted I have question aboiut my health, she replied ""What question, I can answer!"" 
I mean excuse me? Who are you? She even took my blood test results and tried to explain the results to me? That's not really the question I have. I felt very annoyed that she treated me this way."
475,"I have had several doctors in this hospital, half were pleasant, and half were quite scary. 

Dr.Erben is one of the most caring doctors I've ever met in my life Dr.Lerner is so intelligent and really takes the time to read my medical history and following up.  

I don't give Leslie Grady a good rating. She is very fake and does the bare minimum. She was often trying to not let me get tests I needed. Sure enough I was positive on all the tests that she was trying to talk me out of taking. 

Heather Hoffmeyer was extremely condescending and definitely comes off as the type who likes to cut corners as much as possible. She doesn't provide alternatives or make the patient feel like part of the process at all. She has a snobby attitude and often laughs at you when you ask questions. She often answers questions in a very roundabout way. Overall she is just a very cold person who does not make me feel comfortable at all."
476,"Went to visit dr. Hall her staff is appalling. It only leads me to QUESTION her professionalism!!! 

Secretarial staff lacks the articulation!!  Unable to give you proper direction to the building for which they work  (including any surrounding landmarks)..... clearly driving in from Outer parameters and unfamiliar with where they work or the surrounding areas of _SHAME!!

Ms. or MRS.Dr. Hall  Her Staff is threatening! RUDE and LIE!! 
 @ 10:29 I called and followed the RUDE BLONDE/GREY(OLD gal) directions.... when I pulled up in front of community @10:44am to inform I was there and to clearify what unit they were in... they wanted me to reschedule.... MY APPOINTMENT was @ 10:45 (traveled in from Cali for it) 

 The dits answering the call (same old gal) told me their office was full of patients....
when I walked in @ 10:46  Not a patient in her office..... NOT A ONE!!
 (guess they didn't anticipate my coming into the office) .... LIARS!!  SHAME!!! Shame on Dr.Hall for her staff..... AGAIN, MAKES YA QUESTION THE PROFESSIONALISM.

WHO WANTS TO SEE A DOCTOR WHO HAS A LYING STAFF?? MAKES YA WONDER ABOUT THEIR LEADER!! (well, unless your not a thinker and takes/puts trust in someone who doesn't clear exercise diligence, HONESTY and/nor professionalism.... IT'S ONLY YOUR LIFE!!!

I would suggest finding another INTERNIST / doctor and RUN LITERALLY FOR YOUR LIFE TO SOMEONE WHO HAS CARE!! Whose staff has care and respect and doesn't threaten when you ASK to talk to the Dr.  AS THEY DID IN FACT!!!!
  (Make like a good kid and when ya hear the playground bell,,, RUN FROM THE HALL!!)

Unfortunately, there is not a rating LESS than 1 star....... your life counts on this reading!!!
just saying....stay healthy!"
477,"Altamonte Springs Office.  Ms. Joann Rodriguez, aesthetician, Med Spa.  I had no idea where to go. There were only stairs. There were no signs pointing to the fact that you had to go up the stairs. I figured it out for myself and went upstairs. The door was locked. I called her on her cell.  She answered, this time, and told me the door was kept locked if she was there by herself, which she was.  She came to unlock the door and when I went in, there was a waiting room and a check-in desk, with no one there (keep in mind this was 3:30 in the afternoon; a time when you would think a dermatology office would be full of patients.) She positioned me in the waiting room and came to get me (not on time) for my microdermabrasion. I was led to a dark, cramped room with boxes stacked everywhere and an aesthetician's chair. I thought I was going to a ""spa."" Not exactly as advertised. I asked for the package of 6 microdermabrasions for $600.  Ms. Rodriguez proceeded.  I was a little uneasy.  However, after she completed the microdermabrasion, I wasn't still uneasy, until she handed me a list of dermatological products that were priced $75 and up that she recommended.  Still, it didn't keep me from making a 2nd appointment for May 7 (since I didn't know what was to come"".)

Before May 7, Ms. Rodriguez phoned me and told me she couldn't make that appointment. She had a family emergency.  I understood and we texted back and forth till I rescheduled my 2nd appointment for May 14. That microdermabrasion was just like the first, no difference. I made my 3rd appointment for June 21.

Now is when the real fun started. Sometime during the second week of May I called Ms. Rodriguez  because I couldn't remember when my next appointment was.  She said she'd call me when she got to the office. After not returning any of my many calls, I decided to text her on May 31.  I was concerned and I asked her if everything was OK since she hadn't called or texted me back. Her next response, a text said simply ""Hello, your next appointment is June 21 at 2:30.""  No explanations of why she hadn't returned my calls. I wasn't happy, but I let it go and thanked her. 

On June 21 I called and asked her for a phone number of Dr. Salinas.  I said ""See you at 2:30.""  First I got ""I'm not in the office and I cannot check what your appointment time is?"" ""When I am out of the office I do not carry a computer with me to look up or schedule patients."" ""There was no way for me to figure out what happened with the appointment unless I checked the system.  What kind of professional medical spa professional doesn't have her schedule on her phone, or home computer, especially when she has another office in Clermont, where she also lives. I sent her a copy of her own text giving me the appointment for June 21. 
 
  Her response was ""I see that but I have no idea what happened until I get to the office and look at the appointment scheduler. I know I have another patient scheduled I'm so sorry something got messed up."" Then ""I messed up on the date I gave you.  I have you scheduled for June 25."" That is when I had had enough.   I said I wanted my $400 back for the 4 remaining microdermabrasions, and to credit it back to my American Express (they are pursuing a separate dispute on this issue). Now, keep in mind, it's 1:24 on the day of my appointment. Didn't hear back from her till 2:42 p.m. and her text read ""OK I'm with a patient I'll be done today at 6:30 p.m."" To make a VERY long story shorter, she said she'd refund my money and she needed my credit card #.  I said no and she said she could send me a check.  I said no check. Finally I saw no other way to get my refund than call her with my #.  The next day she credited back $350 of the $400 I was owed. When I questioned why I didn't get back the full $400 she texted that me I had a package deal of 6 for $400 and if I was cancelling the last 4 I didn't get the quantity discount. At this time I told her I wanted back the entire $600 for all the aggravation she had caused  me. That's where we still are today.  DO NOT GO TO Ms. Rodriguez at the medical spa in Altamonte Springs or Clermont. It is very unprofessional and it's more like work. You are forewarned."
478,"I saw Dr Shung for several years before switching to a more convenient doctor. To address complaints in other yelp reviews:  she runs her office lean. It is her and her nurse. Her nurse does double (maybe triple) duty as nurse and reception. Other doctor offices run with 3-4 people. I don't fault Dr. Shung for running lean. Making money as a primary care physician is hard with our managed care setup in this country. She also doesn't always stay on schedule, but her patients ALWAYS get the time they need. Always. She listens. She obviously cares, but it is undoubtedly true that the way she does business creates inconvenience for her patients. If you are aware of this and patient enough, she's a good primary care physician. I personally wish she would make changes to address the delays, but I can't fault her for trying to both focus on patient care and make a decent living. She's a good doctor, and that counts for a lot. I've seen several and fired most of them for being perfunctory and not listening well. These doctors have different priorities. I like dr. Shung's priorities better. I didn't fire her. I just switched for convenience and now I'm with a doctor who draws a salary from a clinic that allots 30 minutes per patient. He can do this because he's semi-retired after a long career working in hospitals as a specialist. The clinic can do it because they are a large operation and make their profit through other services. But I do not expect an independent business owner doctor to be able to do the same and keep her practice open.  So know this going in and enjoy a quality experience in the exam room."
479,"Update:  I think Sheila cares. However, her approach to addressing my ever-changing strange symptoms was to send me to specialist after specialist who, one after one, told me nothing was wrong. She shunted me off to many specialists, but never the one I needed. It was a chiropractor -- a chiropractor-- who finally sent me to the right specialist who diagnosed me with a life-long condition. A chiropractor did what she and another doctor I saw couldn't. And I'm 2 years delayed in getting treatment.  Oh well. She did her best, i suppose.  

Original review.  I saw Dr Shung for several years before switching to a more convenient doctor. To address complaints in other yelp reviews:  she runs her office lean. It is her and her nurse. Her nurse does double (maybe triple) duty as nurse and reception. Other doctor offices run with 3-4 people. I don't fault Dr. Shung for running lean. Making money as a primary care physician is hard with our managed care setup in this country. She also doesn't always stay on schedule, but her patients ALWAYS get the time they need. Always. She listens. She obviously cares, but it is undoubtedly true that the way she does business creates inconvenience for her patients. If you are aware of this and patient enough, she's a good primary care physician. I personally wish she would make changes to address the delays, but I can't fault her for trying to both focus on patient care and make a decent living. She's a good doctor, and that counts for a lot. I've seen several and fired most of them for being perfunctory and not listening well. These doctors have different priorities. I like dr. Shung's priorities better. I didn't fire her. I just switched for convenience and now I'm with a doctor who draws a salary from a clinic that allots 30 minutes per patient. He can do this because he's semi-retired after a long career working in hospitals as a specialist. The clinic can do it because they are a large operation and make their profit through other services. But I do not expect an independent business owner doctor to be able to do the same and keep her practice open.  So know this going in and enjoy a quality experience in the exam room"
480,"I initially posted a negative review because it was hard to find the Seton Northwest office, and I missed the appointment with Dr. Bledsoe I'd been anticipating for some months.  I had been told it would be four months before I could expect a rescheduled date. 

Since then, ARC has contacted me to schedule an earlier appointment, and I greatly appreciate it.  I just wish the assistance had been easier to come by, and not as a result of my leaving a neg.  Thanks, ARC, for taking care of this...I still think I'll still keep looking for another endo whose appointment system is a bit easier to wrangle."
481,"Not honest, tricky and slick.

We had quick need of a vapor cleaner.  We decided to come here instead of ordering, in order to buy local.

I spoke with the owner, Diane, on the phone at length. She seemed knowledgable, fair and reasonable.  She offered to sell us their ""demo cleaner, we only use it to demonstrate here in the store"" for the same price as a new one, but without having to wait on the order.  She said the new ones were out of stock at the distributor and we'd have to wait some time.  However, she said it has only been demonstrated just a few times in store and was like new.

We came in to look at it soon as we could get down there during store hours, which was 4 days later.  Less than waiting for stock to come in at the other place anyways.  When we came in she said it worked out great for them, as the distributor had enough stock that a dealer could get a demo, so they'd have a replacement really soon.

We looked at the demo they were offering, but it did not look like a demo.  I asked the owner if this would still have a warranty and she told me, ""we'll cover that"" and walked away.  The store was busy and the owner went to talk with a customer.  I asked a sales lady about it and she said, ""it's in great shape - we've only rented it out a few times"".  I said, ""it was your rental?"", she replied ""the one we rent for 70 to home owners, not professional cleaners"".   I asked about the bristles on the brushes... while the unit was very clean, the brushes were all crushed completely flat as if it had been in heavy service until the brushes had nothing left to give.  She didn't know, so I asked the owner.

I asked the owner about the brush replacements and she said that yes you could order them!  I asked how much were they, and she didn't know.  She looked at her computer, and said she wasn't sure.  I asked if the unit would be any cheaper since we would need to replace the brushes, and she offered to drop the price $50 (the unit is around $500).  It turns out we couldn't replace one of the brushes for that.

Since the distributor suddenly had stock again, we decided we would buy a new one.

The owner justified screwing us because 'we would get it immediately instead of waiting on back-order'.  There appeared to be no backorder, and a call to a national distributer had no backorder.

The owner told us it was just an in-store demo.  It was their rental.  She would sell it to us for not a penny less than a new one, until I pointed out that the bristles were utterly horizontal and so stiff as to be inflexible.

The owner said ""they would take care of the warranty"" and walked off, and then dodged the question when I brought it back up.  Are you a woman of your word or not?  With our new one we learned the actual warranty is utterly non-transferrable and after warranty expires they charge high rates for repairs.

The owner dillied and dallied over the useless brushes and gave us a discount not nearly enough to replace them.


We felt extremely bait-and-switched and that if we had ordered we would have had one only a few days after visiting in store... instead we didn't get to order one for a few days after visiting the store (because it was Friday evening) and our wait was needlessly extended.

I understand the need to make a profit - we all have this need.  But to make it off the back of someone else through dishonesty or trickery is wrong.

I felt highly deceived by this business, they lied to us and tried to take us to the cleaners - if I hadn't thoroughly investigated the cleaner and asked pointed questions I'd have gotten screwed like only a used car dealer can shaft you.

If you go there I recommend you bring your senses and caution."
482,"TL; DR - Balloon sinuplasty is amazing and has improved my life immeasurably. Get the surgery!

I've never been the healthiest person when it came to my sinuses but I never had allergies until I moved to Austin.  Every year they got a little worse, but 3 years ago after I had my daughter they were making my life miserable. I was always sick, sinus infections, bronchitis, general viral ick, swollen eyes. I came here a little over a year ago and started taking the drops. Around February I hadn't noticed any improvements and had visited 2 different ENTs for my sinus issues. One said ""you're just someone who gets sick a lot, sorry, antibiotics are just your life"". The other said ""well you don't seem to have any polyps so I don't know what to tell you.""  And when I say I was sick, I mean, SICK. Coughing all night long to the point it was triggering asthma attacks. Going days or weeks without sleep. Horrible coughing fits on all my work calls and everyone was like ""good god, are you dying? You sound horrible."" Nothing was working, nothing helped.  My primary care doc refused to prescribe anything harder than OTC meds.  ""It's just a cold, you'll be fine."" IT'S NOT F'ING FINE.

I was at my wits end when I came in for allergy retesting and decided to switch to shots.  They realized I was about to lose my marbles (and I'd decided if I couldn't get things under control we'd have to move out of state) and offered to do a CT scan. Which led to them recommending the balloon sinuplasty, along with shaving down my septum and some other thing involving a steroid I think. I dunno, I was too tired but signed up with just the hope if it could help just a tiny bit it would be worth it.

The recovery suuuuuuuuucked. I think I would have bounced back from just the balloon portion quick but that septum surgery was no joke. I cried, it hurt and then suddenly... OXYGEN. I wasn't sick. I wasn't coughing. I wasn't stuffy. For the first time in my life (literally, I'm not even kidding) I could breathe. Is this how everyone else lives? OMG THIS IS AMAZING!!

It's been 3 months since my surgery and it has literally changed my life. I've never been able to exercise despite my efforts to start a workout plan constantly since I'd always wind up sick a week or two later, but I've been able to run outside for the last 6 weeks. I haven't been sick since and I can sleep through the night again. My skin looks better, the dark circles under my eyes have improved and I feel like a new person. I honestly can't thank these guys enough for giving me the relief no one else has, I only wish I'd done it sooner. If you're at the end of the rope, DO IT!  

Also, the shots seem to be helping (or maybe it's just the surgery results) but I've only had to take an allergy pill once every week or two instead of every day. I'm looking forward to a totally congestion free life soon!"
483,"Our experience here was horrific. We'd just relocated from CO and we needed to have our son seen by a pediatrician a.s.a.p. for his 2 month well baby check-up. Not having enough time to set up interviews with pediatric practices, I chose this office because of the great online reviews and Hermann's stated holistic approach. We arrived to the office, which was very stuffy and uncomfortable for me, although the environment may be quite inviting for children. Once in the exam room, Hermann came in, introduced herself, and everything was okay. She seemed a bit a spacey, but that wasn't a big deal. As she was examining our son, she noticed that he had a penile adhesion, something that neither my husband nor I had ever heard of. She proceeded to pull apart the adhesion as our son lie there screaming. She tried to assuage our horror and discomfort by stating that he was crying because of her cold hands, so she's an unhesitant liar. We trusted that she was doing this procedure because it needed to be done, and didn't stop her, but once we left I researched penile adhesions and quickly learned that what she had done was completely unnecessary and not currently recommended by most medical practices. 

Her behavior was completely unprofessional. I recommend that parents go elsewhere. It seems that a lot of people are happy with her service, but, for us, she's a repulsive member of the medical community."
484,"While my actual general practitioner is very good and easy to get into most of the time, my neurologist is extremely hard to get into, and most of the time is unavailable.  My neurologist didn't have the professionalism, courtesy or respect for me to call and talk to me about my current MRI results.  Instead I received a call from her medical assistant who was rude and uncaring.  I'm not even sure if it is legal for a medical assistant to release that kind of information, I thought it had to come from the Doctor?  I feel like a number to them, since they are more of an HMO now more than ever before.  I can't wait to change service providers.  

Kaiser you are not good at customer service, I am tired of the lack of respect from everyone there.  Quite trying to throw drugs at me and try and treat my symptoms."
485,"I wouldn't let there people treat a stray dog . 
They have left me in 7-8 pain for weeks.
I will File Suite  & Win They are useless ! 
They gave me My Brother's Chart Mismanaged From the top to bottom.
They are useless ! Don't Bring anyone to them!"
486,"My husband never gets sick or cries but today he felt worse than he's ever felt so I took him to the nearest place, Texas Med Clinic. Bad idea. It was a 2 hour wait to be seen by a doctor, even though there was only one other person in the lobby. No big deal, I understand we were a walk-in. 

But after a while I start to worry as my husband was throwing up so much we ran out of bags. Literally throwing up every five mins for hours. The nurses offered him a shot and an IV while we are waiting, I said yes my husband said no. After more throwing up my husband finally agreed to a shot. After some more time he starts shaking. I look for a nurse or someone and finally get ahold of a male doctor who basically said this is not a hospital and you'll have more options in an ER. So I proceed to tell them to please call me an ambulance as my husband is STILL NONSTOP THROWING UP and crying. They told me it's not a real emergency and it would only come out of courtesy. 

At this point I am so confused as to how everyone is just ignoring the fact that he is STILL throwing up. It's been hours and no one has explained anything to me and are visibly upset that I have questions at all. 

I try to calm down my husband and he wants to rest and begs for an IV and is extremely desperate and crying hard. I ask the nurse if that's still possible she turns to the female doctor and asks her to talk to me. The doctor gives me a death stare, says ""Oh I need to talk to you alone"", pulls me into a room, shuts the door and basically says I was wrong for wanting to leave and that I must wait in the car if my husband wants to stay. My husband has anxiety issues and won't let me leave his side so that was not going to happen, I explained that to her and she said we should both leave and do whatever we want. I recorded the entire conversation. 

When I asked what was the issue she didn't say anything but laughed. I asked her what was so funny about my husband being on the floor uncontrollably throwing up and her refusing an IV. She doesn't say anything. I paid (more than the price listed online) and left. 
 
I'm not sure if this is normal but I am still in shock as to how I was spoken to. I work in customer service and would never allow that sort of treatment. It was rude, unnecessary and insulting.  I was trying to do what is best for my husband since and clearly was the only one concerned. And of course, no diagnosis. Complete waste of time and money. 

If you don't feel well, don't stop here. You'll leave feeling worse and will probably have multiple people tell you different things. Maybe a few ugly stares too. 

One star for the shot they gave him, that helped temporarily. But honestly, google gave me more information than these people did. 

If anyone knows where I can submit a complaint with the audio of this doctor laughing at my husband's condition and continuously insulting me, let me know."
487,"Firstly I'd like to say that I do like the doctors at the practice a lot! (especially mine)
However, their billing department is horrible! Because of their incompetencies my credit is shot while I try to get a loan for a new home.
I had a left over balance of $74.55 for a problem where I had paid well over a thousand dollars for already. I had moved to a new location, and they couldn't get a hold of me for that $74.55. If they only left a single voicemail that I had an unpaid balance, I would immediately get it taken care of. However, they never did!
I finally received a bill from them at the new address that was forwarded to me, and paid the balance in full. The procedure was nine months before. Austin Gastroenterology sent the account to collections despite the payment, and never contacted the collections agency that the account was already paid in full.
Now the collection for the $74 is on my credit record. It destroyed my credit score, and the only way to fix all of this is to pay the collections agency a fee to send a record deletion letter to me so that I can then contact all three credit companies to get the collection removed. If the account is simply denoted as paid, it will still affect my credit score, so it has to be marked as deleted. Not only that, the process takes 45-60 days. All the while I'm supposed to be applying for a home loan and my rental lease will be expiring. Supposedly there are agencies that can speed up the process but I'm looking at $115 of fees, and countless hours of dealing with companies, letters, forms, etc.
Thanks a lot for ruining my credit and hope for a home because of a $74 charge and your failure to contact a customer who was actually happy with you initially!"
488,"I am very disappointed in the service I've received from this location I will never ever return. I can't believe that in the year 2016 you don't have access to email or fax that operates without unplugging the telephone.

My first problem with this location was the staff trying to get a prescription filled. I wanted to speak to someone that could look up some information from the eye doctor stating that I had gotten my eyes examed and that everything was okay for me to have a refill on my prescription I had my eye exam at least two to three weeks prior. No one can find the information and really didn't care to help me so I had to return to the eye doctor who had done the exam which they had guaranteed me they had sent. I asked them to please send it again. Called the center back and told them that my exam would be sent again please call me when they received. Of course! no one called me. Call the center back to ask if I could get my refill and then 3 days later I receive my refill. At that time it had been going on two weeks without medication.

My problem with the center now is that I'm in South America and I needed some information on my labs my blood work. I called and asked directly for records did not want to go thru the front desk or staff. I especially said records department I spoke to a young lady who was willing to help me I advised her that I was in South America in Columbia that I would not be able to get the records I would send my husband. She said that there would be no problems with me getting the records she told me exactly how much they were going to cost $6.50 she said that I had 7 pages. My husband arrived to pick up the papers and front desk said that he could not receive them they said they had no way approving that he was authorized to pick up my paperwork and that I would have to do it I would have to come in to pick them up my husband explained that I was in South America and that I have spoken to someone in and she said it would be fine the lady continue to say that she would lose her job if she wou give him the information instead of looking up who was authorized to receive my information which is my husband. Then there was another female who came to the window and told my husband that she would not talk to him any longer and close the sliding window at that time I became very upset because I'm on the other end of phone trying to explain to them what was going on and they wouldn't even touch the phone. The 2nd woman said they had no fax or email were they could help me with this. My husband became very frustrated and left I asked him to go back in there to get a form so we can get this taken care of. So of course I'm in Columbia my husband has to email this information to my niece has to make a copy I had to fill it out get it notarized and then email it back to my house because they have no way for it to be faxed or email this is what they said. Now it is going to take me about another week and a half for my husband to get my records to me. All of this could have been taken care of by email this is 2016! And im sure that have access to email and fax.

I will never recommend this Center to to anyone that is suffering from lupus, arthritis or any type of bone or immune disease."
489,"Not their fault, but still.....  Do not even attempt to make an appointment here (as I personally have never been in their office but made an inquiry).  Their system is obviously hacked and you will get malware/spam for the rest of your natural born life.  Beware!  I received this little ditty today with a lovely little spam tab marked, ""get invoice"" conveniently located at the end.  I have been receiving these for the last two years about once a quarter.  Of course I have notified them in the past, and it still keeps coming and coming!  ""Hi, We just processed the payment for your Info at Fusion Dental Specialists account and charged your credit card for $800.00. You will see ""Info at Fusion Dental Specialists"" as recipient on your card statement. If you need help or if you have any questions, please contact us. Thanks for working with us. THX, Invoice 2019-0770 
Sender: Info at Fusion Dental Specialists
Invoice date: 01-31-2019
Due date: 02-01-2019
Amount due: $0.00 (Amount paid: $800.00) 
Get invoice"""
490,"This was my first time going to this Doctor office on my HMO dental plan. I hadn't gone to the dentist in 8 months and needed a cleaning. I made the appointment and also got X-rays done while I was there. Doctor Oberoi was nice enough, checked me out and the X-rays then said, 'I'll see you next time for a cleaning'.  I was like, 'what do you mean? That's why I'm here'...so they couldn't handle doing both an X-ray AND a cleaning? I have never, ever encountered this and is such a WASTE OF MY TIME! Apparently, there is a difference between a basic and extensive cleaning...so does that mean when I need a teeth cleaning, do I need to make two appointments with one just to evaluate which cleaning I need? Makes NO sense. Now I have to make ANOTHER appointment and wait in the waiting room, take time off work...again, just because this office can't get their process down for both X-rays and cleanings in one shot."
491,"I had cataract surgery at OCB by Dr Peter Rapoza in the sumer of 2008.  Dr Rapoza was a very nice, charming guy whom I felt very comfortable with.  My biggest and only complaint about the procedure was the over three and a half hour wait before even being called in for prep.  My appt was for 1:30 PM.  I didn't get called in until 4:45 PM.  My ride home had already shown up and had to spends those useless hours with me.  Needless to say I was furious.  Not the kind of mood you want to be in just beofre surgery.  I mentioned the long wait as constructive feedback, to Dr Rapoza at my first follow-up appointment.  He laughed it off and dismissed it as a scheduling snafu.  No acknowledgement, no apology.

Dr. Rapoza told me upfront, that cataract surgery on someone who is still relatively young, could result in a subsequent blurring of vision.  Opaqification of the Posterior Capsule was the official term.  The remedy for this would be a simple laser procedure.  A couple of zaps and I would be fine.

Fast forward to this past Monday when I was scheduled to have this laser procedure known as a YAG at 2:30 PM in OCB's Waltham office.  I checked in and was brought to the procedure room.  And then left there for over an hour.  By 3:35 PM I was sick of waiting and headed toward the reception desk to reschedule.  Dr Rapoza came thru a door, caught me in the hall and ushered me back to the procedure room.  No acknowledgement of the long wait and no apology.  Sixty seconds later, the procedure was done and he asked me to sit for ten minutes before I left.  I waitd the ten minutes, then went home.

At about 5:15 PM, my eye started to feel scratchy and irrirtated. I guessed this was to be expected.  It got progressively worse and worse until the pain was unbearable and my eye was blood red and weeping.  When I speak of unbearable pain, take it from someone who has had several episodes of kidney stones.  This pain was worse.  Conviced that something was wrong, at 5:45 PM, I called OCB's 800 number and the answering service took my info and said they would page the opthamologist on call.  After about 15 minutes, I took two Tylenol, put a cold cloth on my eye and reclined on the sofa to wait for the phone call.  I drifted off to sleep and awoke at 7:45 PM, two hours later.  The pain was still intense an no one had called me back.  The phone was right next to my head.  I would have heard it.  I even checked my caller ID device.  No call had been made.  I called the answering service again and explained the situation.  They said they would page the doctor again.

A little after 8:00, a woman called me back explaining that she was the OCB doctor on call.  I immediately told her that I had called two and a half hours prior.  She huffingly explained that she received no prior page.  She then went on to tell me that after a laser procedure, ""some discomfort isto be expected"".  I told her that the pain was and had been extreme.  Her response was that it was ""no big deal"" and that I was ""fine"".  She seemed quite put out to have been bothered in this fashion and couldn't wait to get off the phone.  I told her it was unacceptable to not have an emergency call returned.  She replied that she had just received the page and ""now I've called you back"".  In other words, I've covered my ass.  I was so angry, I informed her that OCB and Dr Rapoza had just lost a patient and hung up.  She never asked me what my symptoms were.  Never asked me about the pain or level of pain.  Never asked me what the eye lookedlike or how my vision was.  Nice.

Much later that night, I sent a very angry email via the OCB website.  Two days later, OCB's Compliance Officer called me offering all manner of emapthy and apologies.  She explained that the answering service had been at fault for the first page not being sent to the doctor on call.  She also admitted after hearing my version of events, that the woman who called me back had handled my call completley inappropriately, that I was not triaged correctly and that OCB had completely failed me.  She wanted me to come back in to hve my eye checked.  I declined saying I longer trusted anyone at OCB.  She advised me to get checked out elsewhere, which I did.  During the course of our conversation, she also informed me that their doctors on call were ""fellows"" who were only with OCB for a few months at a time.  She informed me that this ""fellow"" (i.e., student, intern, trainee...) would be reported to the attending physician.  And that was the end of it.  No apology or even a phone call from Dr Rapoza.  At OCB, you are nothing but a file number with a revenue value.  You are nothing more than the next payment on someone's yacht.  Beware."
